amount,payment_method_type,payment_method,Stripe_outcome,Adyen_outcome,chosen_processor,chosen_network,final_outcome,savings,best_possible_processor,best_possible_network,best_possible_savings
190.12,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
127.97,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,ACCEL,success,11.319925000000001,Adyen,ACCEL,11.319925000000001
673.16,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
406.67,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
339.32,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,ACCEL,success,9.805884999999996,Adyen,ACCEL,9.805884999999996
867.5,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
678.99,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
308.94,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,ACCEL,success,9.733732499999999,Adyen,ACCEL,9.733732499999999
501.47,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,ACCEL,success,12.253675000000001,Adyen,ACCEL,12.253675000000001
802.68,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,ACCEL,success,13.006699999999999,Adyen,ACCEL,13.006699999999999
697.86,['CARD'],['VISA'],success,success,Adyen,VISA,success,0.0,Adyen,VISA,0.0
350.75,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
542.64,['CARD'],['VISA'],success,success,Adyen,VISA,success,0.0,Adyen,VISA,0.0
221.31,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,ACCEL,success,9.52561125,Adyen,ACCEL,9.52561125
862.92,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
883.97,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,ACCEL,success,13.209924999999998,Adyen,ACCEL,13.209924999999998
936.25,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
897.81,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
628.82,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,ACCEL,success,10.493447500000002,Adyen,ACCEL,10.493447500000002
764.7,['CARD'],['VISA'],success,success,Adyen,VISA,success,0.0,Adyen,VISA,0.0
494.22,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,ACCEL,success,10.173772499999997,Adyen,ACCEL,10.173772499999997
93.99,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
178.65,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,ACCEL,success,9.424293749999997,Adyen,ACCEL,9.424293749999997
973.92,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,fail,Adyen,ACCEL,fail,11.31306,Stripe,VISA,0.0
154.62,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.5889065000000002,Adyen,ACCEL,9.3672225
686.81,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.8949157499999956,Adyen,ACCEL,10.631173749999995
825.22,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,3.0776540000000026,Adyen,ACCEL,13.063049999999997
661.12,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,2.962783999999999,Adyen,ACCEL,12.652799999999996
612.46,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.8521645000000007,Adyen,ACCEL,10.454592499999997
626.0,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
369.04,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
435.31,['CARD'],['VISA'],success,success,Adyen,VISA,success,0.0,Adyen,VISA,0.0
154.41,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,2.6080869999999976,Adyen,ACCEL,11.386024999999997
179.51,['CARD'],['VISA'],success,success,Adyen,VISA,success,0.0,Adyen,VISA,0.0
243.11,['CARD'],['VISA'],success,fail,Stripe,VISA,success,0.0,Stripe,VISA,0.0
820.71,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.9719082500000056,Adyen,ACCEL,10.949186250000004
928.98,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,3.1502860000000013,Adyen,ACCEL,13.32245
116.36,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.5669070000000005,Adyen,ACCEL,9.276354999999999
468.74,['CARD'],['MASTERCARD'],fail,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
673.99,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.8875442500000013,Adyen,ACCEL,10.600726249999997
71.77,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
532.75,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
970.23,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
53.85,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
441.83,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.7540522499999973,Adyen,ACCEL,10.049346249999996
585.56,['CARD'],['VISA'],success,success,Adyen,VISA,success,0.0,Adyen,VISA,0.0
369.31,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
55.07,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,2.5385489999999997,Adyen,ACCEL,11.137675000000002
660.87,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.8800002500000019,Adyen,ACCEL,10.569566250000001
417.54,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.7400855000000028,Adyen,ACCEL,9.991657500000002
330.61,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
170.23,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,2.619161000000002,Adyen,ACCEL,11.425575000000002
517.16,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.7973669999999977,Adyen,ACCEL,10.228254999999997
483.54,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
563.92,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,2.8947439999999993,Adyen,ACCEL,12.409799999999997
528.67,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
430.68,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.7476410000000016,Adyen,ACCEL,10.022865000000001
384.48,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.721076,Adyen,ACCEL,9.913139999999999
160.83,['CARD'],['MASTERCARD'],success,fail,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
901.12,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
600.72,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,2.920504000000001,Adyen,ACCEL,12.5018
37.11,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
971.29,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,3.179902999999996,Adyen,ACCEL,13.428224999999998
875.07,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
786.72,['CARD'],['VISA'],success,success,Adyen,VISA,success,0.0,Adyen,VISA,0.0
381.73,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
714.17,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
211.48,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,2.648036000000001,Adyen,ACCEL,11.528699999999999
271.76,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,2.6902320000000017,Adyen,ACCEL,11.679400000000001
30.47,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.5175202500000005,Adyen,ACCEL,9.072366250000002
