paymentId,amount,payment_method_type,payment_method,Stripe_VISA_outcome,Stripe_MASTERCARD_outcome,Adyen_VISA_outcome,Adyen_MASTERCARD_outcome,Adyen_ACCEL_outcome,Adyen_STAR_outcome,Checkout_VISA_outcome,Checkout_MASTERCARD_outcome,Checkout_ACCEL_outcome,Checkout_STAR_outcome
PAY_1761209427316,874.79,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,fail
PAY_1761209427318,365.12,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761209427319,15.75,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,fail,success,success,success
PAY_1761209427320,430.3,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,fail,success,success
PAY_1761209427322,7.17,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761209427323,266.76,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761209427324,867.97,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761209427326,827.84,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761209427327,643.63,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761209427328,226.41,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761209427330,322.01,['CARD'],['VISA'],success,success,success,success,success,success,success,fail,success,success
PAY_1761209427331,205.2,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,fail
PAY_1761209427332,313.83,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
PAY_1761209427334,123.45,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success,success,success,success,success
PAY_1761209427335,897.94,['CARD'],['MASTERCARD'],success,success,success,success,success,success,success,success,success,success
