paymentId,amount,payment_method_type,payment_method,Stripe_VISA_outcome,Stripe_MASTERCARD_outcome,Adyen_VISA_outcome,Adyen_MASTERCARD_outcome,Adyen_ACCEL_outcome,Adyen_STAR_outcome
PAY_1761208693923,986.91,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1761208693924,812.54,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1761208693925,76.96,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1761208693927,354.29,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208693928,715.7,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208693929,327.86,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208693930,802.74,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208693932,834.07,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208693933,164.35,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1761208693934,919.98,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1761208693936,650.16,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208693937,6.69,['CARD'],['VISA'],fail,success,success,success,success,success
PAY_1761208693938,830.0,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1761208693940,374.29,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208693941,438.1,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208693942,228.7,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1761208693944,96.47,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1761208693945,289.43,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208693946,201.74,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208693947,707.17,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1761208693949,746.06,['CARD'],['MASTERCARD'],success,success,success,success,fail,success
PAY_1761208693950,716.85,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,fail,success,success
PAY_1761208693951,725.65,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208693953,205.12,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208693954,783.79,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1761208693955,13.2,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1761208693957,616.65,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1761208693958,545.95,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208693959,267.64,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208693960,653.8,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1761208693962,457.51,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208693963,826.62,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1761208693964,82.25,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,success,success,success,success
PAY_1761208693966,702.67,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1761208693967,829.33,['CARD'],['MASTERCARD'],success,success,success,success,success,success
PAY_1761208693968,265.81,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1761208693970,555.73,['CARD'],['VISA'],success,success,success,success,success,success
PAY_1761208693971,295.82,['CARD'],['VISA'],success,success,success,success,success,success
